Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Run_Date,Pwr_Achieved,Dur_Heating_At_Req_Pwr,temp,temp_err,time,Da2,Da2_err
205.7521,6.187651,4.709196,0.0056246,0.0379535,0.0001025,10/04/2019,398,300,398.86,2.5582,296.612,7.50E-07,1.36E-07
264.2929,12.08546,0.4948546,0.0016841,0.0103655,0.0000702,10/04/2019,411,300,410.544828,2.26732,296.69,5.00E-06,6.79E-08
286.5115,14.03621,0.378053,0.0014953,0.009554,0.0000717,10/04/2019,423,300,423.015517,2.83566,296.618,4.67E-06,3.39E-08
298.1478,8.280348,0.6798891,0.0015156,0.0188638,0.0001019,10/04/2019,427,900,426.627,2.48463654,896.58,3.12E-06,1.64E-08
332.4184,5.734809,0.488877,0.0015259,0.0154675,0.000089,10/04/2019,447,600,446.99322,2.05845,596.877,3.94E-06,2.17E-08
318.5759,4.333486,0.509207,0.0015259,0.0178285,0.0001002,10/04/2019,463,600,463.184746,2.22275,597.376,4.65E-06,1.53E-08
287.7861,3.786111,0.483127,0.0014277,0.0189398,0.0000921,10/05/2019,477,600,476.837288,2.0642,596.875,5.09E-06,1.34E-08
281.1107,11.19024,0.2623978,0.0013096,0.0112304,0.0000787,10/05/2019,492,300,492.025862,1.727,296.624,6.22E-06,2.11E-08
253.2474,8.415129,0.3257864,0.0013096,0.0151779,0.0000903,10/05/2019,506,300,506.194828,1.66948,296.614,8.59E-06,2.21E-08
242.3514,6.691286,0.3982048,0.0013095,0.0194736,0.0001017,10/05/2019,519,300,519.32069,1.63425595,296.689,1.13E-05,4.07E-08
231.9012,6.089827,0.4043233,0.0013095,0.0211918,0.0000938,10/05/2019,531,300,531.194828,2.15808739,297.61,1.27E-05,4.51E-08
233.4061,5.774162,0.4331017,0.0013094,0.0232498,0.0001034,10/05/2019,546,300,545.412069,1.66386,297.688,1.46E-05,3.80E-08
241.1685,4.956121,0.5000402,0.0014016,0.0269837,0.0000964,10/05/2019,562,300,562.212,2.8909,296.61,1.78E-05,9.98E-08
150.4139,28.02416,0.1020234,0.0013113,0.0032054,0.0001153,10/05/2019,445,3000,444.92475,2.27517229,2996.571,2.15E-07,5.55E-09
234.1902,4.717041,0.4482652,0.001685,0.0208893,0.000141,10/05/2019,510,3000,509.939,1.745,2997.059,1.44E-06,5.33E-09
259.3846,14.25542,0.2213209,0.0007279,0.0111926,0.0000907,10/15/2019,532,900,532.229213,1.9623,896.529,2.66E-06,1.18E-08
265.481,16.57289,0.1860882,0.0005938,0.0095098,0.0000861,10/15/2019,545,600,544.975424,1.8809,597.317,3.47E-06,1.03E-08
271.7771,6.818802,0.209484,0.0006712,0.0103967,0.0000739,10/15/2019,551,600,551.009,2.3301,597.301,3.87E-06,1.05E-08
252.1231,19.46623,0.131744,0.0006699,0.0063873,0.0000612,10/15/2019,562,300,562.4275,2.708971,297.539,4.87E-06,2.00E-08
308.4025,15.96325,0.1600006,0.0006636,0.0076569,0.0000587,10/15/2019,570,300,569.9086,2.411833,297.108,5.94E-06,1.38E-08
278.4859,11.04165,0.2364741,0.0007899,0.0112867,0.0000709,10/15/2019,585,300,585.105,2.4036,297.554,8.93E-06,1.28E-08
299.544,9.312232,0.2855105,0.0009173,0.0134137,0.0000673,10/16/2019,597,300,597.452,3.9473,297.053,1.09E-05,2.65E-08
315.3004,5.756029,0.463201,0.0010018,0.0208271,0.0000836,10/16/2019,618,300,617.996552,2.595,297.133,1.77E-05,3.33E-08
344.9107,4.261157,0.6870085,0.0008052,0.0289255,0.0000853,10/16/2019,640,300,640.191379,2.9476297,297.116,2.62E-05,4.81E-08
346.6651,4.604216,0.6392539,0.0010888,0.026019,0.0000844,10/16/2019,654,300,653.339,2.752,297.051,2.55E-05,5.92E-08
359.0844,3.690874,0.8314124,0.0012141,0.0326563,0.0000861,10/16/2019,678,300,677.863793,2.58,297.057,3.49E-05,7.98E-08
362.9914,4.204086,0.7327759,0.0011154,0.0288783,0.0000853,10/16/2019,697,300,696.767,1.7648,297.556,3.41E-05,1.02E-07
324.1351,6.118695,0.4872313,0.0010537,0.0202718,0.000074,10/16/2019,714,300,711.853,1.69490625,297.05,2.62E-05,7.76E-08
307.995,5.340878,0.504399,0.0010538,0.0230158,0.0000895,10/16/2019,735,300,735.043103,0.45,297.067,3.24E-05,5.41E-08
255.0391,4.886209,0.4943365,0.0010713,0.0270438,0.0000929,10/16/2019,764,300,763.943103,0.4117,297.067,4.25E-05,3.89E-08
195.9865,10.09365,0.1942389,0.0007382,0.0127031,0.000074,10/16/2019,764,300,763.974138,0.41825,297.558,2.19E-05,5.28E-08
231.1848,35.3642,0.0542876,0.0012402,0.0024128,0.0001125,10/16/2019,604,3600,604.0863,3.23819,3597.405,3.58E-07,3.90E-09
221.7222,62.41563,0.037731,0.0007292,0.0019192,0.0000551,10/16/2019,637,1800,636.9775,1.11297,1797.137,5.77E-07,6.18E-09
206.0167,40.39256,0.047727,0.0007292,0.0026604,0.0000565,10/16/2019,662,1800,662.009218,0.94008,1797.126,8.09E-07,2.87E-09
208.0557,52.66333,0.021043,0.0007094,0.0020851,0.000056,10/17/2019,689,900,688.787079,0.713392,897.004,1.29E-06,5.08E-09
98.21767,25.78844,0.065386,0.0007616,0.0046178,0.0000609,10/17/2019,702,1800,699.8,1.295214,1797.114,1.45E-06,2.33E-09
148.7487,45.08743,0.0579686,0.0004658,0.0045473,0.0001077,10/17/2019,723,1200,722.3529,0.7894,1197.194,2.20E-06,4.24E-09
148.2624,5.878648,0.0728208,0.0002701,0.0059489,0.000026,10/17/2019,735,1500,732.711074,1.12203,1497.445,2.37E-06,3.86E-09
161.0701,14.9718,0.1257368,0.0004982,0.0118662,0.0001016,10/17/2019,773,900,772.93427,0.36639,897.534,8.33E-06,9.51E-09
74.23127,5.085862,0.111619,0.0004,0.0093374,0.0000471,10/17/2019,781,600,781.004,0.381,597.337,1.05E-05,1.34E-08
143.371,26.23472,0.0593808,0.0005904,0.0052672,0.0000652,10/17/2019,788,300,787.956897,0.35099,297.098,1.26E-05,1.03E-08
161.7858,20.62046,0.0786344,0.0005954,0.0063808,0.0000599,10/17/2019,795,300,794.951,0.31636,297.553,1.58E-05,1.34E-08
200.892,17.66291,0.0887799,0.0006058,0.0072186,0.0000612,10/17/2019,802,300,801.939655,0.3397314,297.117,1.89E-05,2.16E-08
149.048,15.5723,0.1146534,0.0006222,0.0088542,0.0000717,10/17/2019,809,300,808.917,0.365,297.546,2.47E-05,2.18E-08
185.7818,15.90091,0.1130868,0.0006112,0.0082729,0.0000581,10/18/2019,815,300,814.946552,0.35797,297.052,2.48E-05,1.11E-08
160.3427,11.41802,0.1493913,0.0006337,0.0115477,0.0000709,10/18/2019,823,300,823.077586,1.28787096,297.529,3.79E-05,1.59E-08
167.6431,8.341661,0.1920088,0.0006641,0.015495,0.0000747,10/18/2019,834,300,833.917241,2.59264,297.121,5.87E-05,1.62E-08
166.8846,9.567852,0.1605013,0.0006642,0.0142977,0.0000811,10/18/2019,846,300,845.356897,1.73206,297.045,6.49E-05,3.74E-08
147.5499,10.75683,0.1312887,0.0006642,0.012346,0.0000763,10/18/2019,858,300,857.956897,2.5682,297.041,6.81E-05,2.07E-08
132.0111,8.659146,0.1439582,0.0006969,0.015666,0.0000869,10/18/2019,871,300,870.92069,1.351511,297.043,0.000112151,2.63E-08
115.6457,8.438385,0.1356677,0.0006969,0.015712,0.0000886,10/18/2019,882,300,881.9827,2,297.122,0.000168803,4.45E-08
122.0041,14.27109,0.0881421,0.0006457,0.0094229,0.0000694,10/18/2019,891,300,881.82931,1.035,297.053,0.000165334,3.01E-08
164.8867,25.70546,0.0580036,0.0006008,0.0053175,0.000068,10/18/2019,899,300,882.048,0.8344,298.55,0.000147233,2.02E-08
216.1023,24.61065,0.0830981,0.0006519,0.0052673,0.0000625,10/18/2019,907,300,907.262,1.64,297.066,0.000263398,1.77E-08
234.4357,44.54777,0.0646605,0.0006225,0.0028798,0.0000569,10/18/2019,913,300,912.989655,1.082,297.603,0.000344776,1.24E-08